epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,21602.6,1.00064,0.60872,0.91114,0.75965,0.64811,0.68145,0.45528,1.37258,3.65159,1.06571,0.0010405,0.0010405,0.0010405
183,21717.9,1.00534,0.60972,0.91075,0.75807,0.64799,0.6813,0.4555,1.37304,3.64777,1.06567,0.000991,0.000991,0.000991
184,21834.4,1.00363,0.6094,0.90982,0.75746,0.64839,0.68143,0.45559,1.37338,3.64261,1.06552,0.0009415,0.0009415,0.0009415
185,21951.1,1.00059,0.60482,0.90807,0.75794,0.64739,0.68188,0.45575,1.37333,3.64159,1.06548,0.000892,0.000892,0.000892
186,22068.3,1.0011,0.60441,0.90905,0.75913,0.64673,0.68187,0.45586,1.37393,3.63951,1.06563,0.0008425,0.0008425,0.0008425
187,22185.3,0.99557,0.6009,0.90974,0.75781,0.64784,0.68183,0.45574,1.37461,3.63873,1.06569,0.000793,0.000793,0.000793
188,22300.5,0.9928,0.59928,0.90696,0.75836,0.64752,0.68189,0.45565,1.37497,3.63652,1.06571,0.0007435,0.0007435,0.0007435
189,22416.5,0.99536,0.59835,0.90698,0.75958,0.64594,0.6817,0.45563,1.37498,3.63632,1.06561,0.000694,0.000694,0.000694
190,22534.6,0.99948,0.60077,0.90622,0.75995,0.6453,0.6819,0.45572,1.37464,3.63535,1.06541,0.0006445,0.0006445,0.0006445
191,22653.2,0.96184,0.57256,0.90242,0.76102,0.64468,0.68207,0.45563,1.3751,3.63273,1.06557,0.000595,0.000595,0.000595
192,22771.9,0.94817,0.56215,0.90262,0.75893,0.6466,0.68191,0.45575,1.37494,3.62814,1.06553,0.0005455,0.0005455,0.0005455
193,22886,0.95117,0.56319,0.90361,0.75691,0.64884,0.68265,0.45571,1.3751,3.62356,1.06533,0.000496,0.000496,0.000496
194,23001.3,0.94598,0.55716,0.89912,0.75727,0.64834,0.6824,0.45594,1.37531,3.62522,1.06549,0.0004465,0.0004465,0.0004465
195,23116.3,0.93968,0.55269,0.90011,0.75601,0.64923,0.68233,0.45596,1.37515,3.62258,1.06499,0.000397,0.000397,0.000397
196,23230.4,0.94144,0.55453,0.90014,0.75527,0.64921,0.68215,0.45581,1.37514,3.62214,1.06508,0.0003475,0.0003475,0.0003475
197,23346.8,0.94158,0.55058,0.89827,0.75587,0.64881,0.68213,0.45571,1.37485,3.61935,1.06494,0.000298,0.000298,0.000298
198,23461.6,0.93789,0.55196,0.89972,0.75752,0.64791,0.68231,0.45575,1.37445,3.61951,1.06479,0.0002485,0.0002485,0.0002485
199,23577.6,0.93676,0.54743,0.89895,0.75927,0.64693,0.68229,0.45575,1.37392,3.62011,1.06467,0.000199,0.000199,0.000199
200,23693.7,0.93068,0.54264,0.8975,0.75948,0.64609,0.68214,0.45571,1.3734,3.61727,1.06454,0.0001495,0.0001495,0.0001495
